"value","description","date","geography","sex","age","source_file"
70748,"diagnostics pathway waiting up to 8 weeks",2023-04-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
67206,"diagnostics pathway waiting up to 8 weeks",2023-05-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
70375,"diagnostics pathway waiting up to 8 weeks",2023-06-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
73161,"diagnostics pathway waiting up to 8 weeks",2023-07-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
69882,"diagnostics pathway waiting up to 8 weeks",2023-08-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
69082,"diagnostics pathway waiting up to 8 weeks",2023-09-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
72996,"diagnostics pathway waiting up to 8 weeks",2023-10-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
71323,"diagnostics pathway waiting up to 8 weeks",2023-11-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
67068,"diagnostics pathway waiting up to 8 weeks",2023-12-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
65934,"diagnostics pathway waiting up to 8 weeks",2024-01-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
69398,"diagnostics pathway waiting up to 8 weeks",2024-02-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
67046,"diagnostics pathway waiting up to 8 weeks",2024-03-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
68028,"diagnostics pathway waiting up to 8 weeks",2024-04-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
71303,"diagnostics pathway waiting up to 8 weeks",2024-05-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
68595,"diagnostics pathway waiting up to 8 weeks",2024-06-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
70328,"diagnostics pathway waiting up to 8 weeks",2024-07-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
65956,"diagnostics pathway waiting up to 8 weeks",2024-08-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
67919,"diagnostics pathway waiting up to 8 weeks",2024-09-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
72271,"diagnostics pathway waiting up to 8 weeks",2024-10-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
70744,"diagnostics pathway waiting up to 8 weeks",2024-11-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
70030,"diagnostics pathway waiting up to 8 weeks",2024-12-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
69284,"diagnostics pathway waiting up to 8 weeks",2025-01-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
75129,"diagnostics pathway waiting up to 8 weeks",2025-02-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
