"value","description","date","geography","sex","age","source_file"
65.77,"% of ed attendances where patients spend less than the 4 hour target",2022-04-01,"wales","persons","all ages","ed_attendances_targets.csv"
65.02,"% of ed attendances where patients spend less than the 4 hour target",2022-03-01,"wales","persons","all ages","ed_attendances_targets.csv"
66.31,"% of ed attendances where patients spend less than the 4 hour target",2022-02-01,"wales","persons","all ages","ed_attendances_targets.csv"
67.82,"% of ed attendances where patients spend less than the 4 hour target",2022-01-01,"wales","persons","all ages","ed_attendances_targets.csv"
66.2,"% of ed attendances where patients spend less than the 4 hour target",2021-12-01,"wales","persons","all ages","ed_attendances_targets.csv"
67.47,"% of ed attendances where patients spend less than the 4 hour target",2021-11-01,"wales","persons","all ages","ed_attendances_targets.csv"
65.62,"% of ed attendances where patients spend less than the 4 hour target",2021-10-01,"wales","persons","all ages","ed_attendances_targets.csv"
67.48,"% of ed attendances where patients spend less than the 4 hour target",2021-09-01,"wales","persons","all ages","ed_attendances_targets.csv"
69.68,"% of ed attendances where patients spend less than the 4 hour target",2021-08-01,"wales","persons","all ages","ed_attendances_targets.csv"
70.98,"% of ed attendances where patients spend less than the 4 hour target",2021-07-01,"wales","persons","all ages","ed_attendances_targets.csv"
71.67,"% of ed attendances where patients spend less than the 4 hour target",2021-06-01,"wales","persons","all ages","ed_attendances_targets.csv"
72.19,"% of ed attendances where patients spend less than the 4 hour target",2021-05-01,"wales","persons","all ages","ed_attendances_targets.csv"
75.33,"% of ed attendances where patients spend less than the 4 hour target",2021-04-01,"wales","persons","all ages","ed_attendances_targets.csv"
75.8,"% of ed attendances where patients spend less than the 4 hour target",2021-03-01,"wales","persons","all ages","ed_attendances_targets.csv"
75.04,"% of ed attendances where patients spend less than the 4 hour target",2021-02-01,"wales","persons","all ages","ed_attendances_targets.csv"
75.05,"% of ed attendances where patients spend less than the 4 hour target",2021-01-01,"wales","persons","all ages","ed_attendances_targets.csv"
70.84,"% of ed attendances where patients spend less than the 4 hour target",2020-12-01,"wales","persons","all ages","ed_attendances_targets.csv"
75.72,"% of ed attendances where patients spend less than the 4 hour target",2020-11-01,"wales","persons","all ages","ed_attendances_targets.csv"
77.31,"% of ed attendances where patients spend less than the 4 hour target",2020-10-01,"wales","persons","all ages","ed_attendances_targets.csv"
78.52,"% of ed attendances where patients spend less than the 4 hour target",2020-09-01,"wales","persons","all ages","ed_attendances_targets.csv"
80.01,"% of ed attendances where patients spend less than the 4 hour target",2020-08-01,"wales","persons","all ages","ed_attendances_targets.csv"
82.07,"% of ed attendances where patients spend less than the 4 hour target",2020-07-01,"wales","persons","all ages","ed_attendances_targets.csv"
86.1,"% of ed attendances where patients spend less than the 4 hour target",2020-06-01,"wales","persons","all ages","ed_attendances_targets.csv"
87.68,"% of ed attendances where patients spend less than the 4 hour target",2020-05-01,"wales","persons","all ages","ed_attendances_targets.csv"
87.04,"% of ed attendances where patients spend less than the 4 hour target",2020-04-01,"wales","persons","all ages","ed_attendances_targets.csv"
77.88,"% of ed attendances where patients spend less than the 4 hour target",2020-03-01,"wales","persons","all ages","ed_attendances_targets.csv"
74.64,"% of ed attendances where patients spend less than the 4 hour target",2020-02-01,"wales","persons","all ages","ed_attendances_targets.csv"
73.63,"% of ed attendances where patients spend less than the 4 hour target",2020-01-01,"wales","persons","all ages","ed_attendances_targets.csv"
71.3,"% of ed attendances where patients spend less than the 4 hour target",2019-12-01,"wales","persons","all ages","ed_attendances_targets.csv"
74.06,"% of ed attendances where patients spend less than the 4 hour target",2019-11-01,"wales","persons","all ages","ed_attendances_targets.csv"
75.25,"% of ed attendances where patients spend less than the 4 hour target",2019-10-01,"wales","persons","all ages","ed_attendances_targets.csv"
75.35,"% of ed attendances where patients spend less than the 4 hour target",2019-09-01,"wales","persons","all ages","ed_attendances_targets.csv"
77.5,"% of ed attendances where patients spend less than the 4 hour target",2019-08-01,"wales","persons","all ages","ed_attendances_targets.csv"
77.72,"% of ed attendances where patients spend less than the 4 hour target",2019-07-01,"wales","persons","all ages","ed_attendances_targets.csv"
77.96,"% of ed attendances where patients spend less than the 4 hour target",2019-06-01,"wales","persons","all ages","ed_attendances_targets.csv"
78.39,"% of ed attendances where patients spend less than the 4 hour target",2019-05-01,"wales","persons","all ages","ed_attendances_targets.csv"
76.58,"% of ed attendances where patients spend less than the 4 hour target",2019-04-01,"wales","persons","all ages","ed_attendances_targets.csv"
78.73,"% of ed attendances where patients spend less than the 4 hour target",2019-03-01,"wales","persons","all ages","ed_attendances_targets.csv"
78.98,"% of ed attendances where patients spend less than the 4 hour target",2019-02-01,"wales","persons","all ages","ed_attendances_targets.csv"
77.19,"% of ed attendances where patients spend less than the 4 hour target",2019-01-01,"wales","persons","all ages","ed_attendances_targets.csv"
80.27,"% of ed attendances where patients spend less than the 8 hour target",2025-12-01,"wales","persons","all ages","ed_attendances_targets.csv"
81.28,"% of ed attendances where patients spend less than the 8 hour target",2025-11-01,"wales","persons","all ages","ed_attendances_targets.csv"
82.06,"% of ed attendances where patients spend less than the 8 hour target",2025-10-01,"wales","persons","all ages","ed_attendances_targets.csv"
82.33,"% of ed attendances where patients spend less than the 8 hour target",2025-09-01,"wales","persons","all ages","ed_attendances_targets.csv"
82.18,"% of ed attendances where patients spend less than the 8 hour target",2025-08-01,"wales","persons","all ages","ed_attendances_targets.csv"
83.25,"% of ed attendances where patients spend less than the 8 hour target",2025-07-01,"wales","persons","all ages","ed_attendances_targets.csv"
82.93,"% of ed attendances where patients spend less than the 8 hour target",2025-06-01,"wales","persons","all ages","ed_attendances_targets.csv"
82.97,"% of ed attendances where patients spend less than the 8 hour target",2025-05-01,"wales","persons","all ages","ed_attendances_targets.csv"
83.09,"% of ed attendances where patients spend less than the 8 hour target",2025-04-01,"wales","persons","all ages","ed_attendances_targets.csv"
82.85,"% of ed attendances where patients spend less than the 8 hour target",2025-03-01,"wales","persons","all ages","ed_attendances_targets.csv"
82.79,"% of ed attendances where patients spend less than the 8 hour target",2025-02-01,"wales","persons","all ages","ed_attendances_targets.csv"
81.76,"% of ed attendances where patients spend less than the 8 hour target",2025-01-01,"wales","persons","all ages","ed_attendances_targets.csv"
80.28,"% of ed attendances where patients spend less than the 8 hour target",2024-12-01,"wales","persons","all ages","ed_attendances_targets.csv"
82.59,"% of ed attendances where patients spend less than the 8 hour target",2024-11-01,"wales","persons","all ages","ed_attendances_targets.csv"
82.96,"% of ed attendances where patients spend less than the 8 hour target",2024-10-01,"wales","persons","all ages","ed_attendances_targets.csv"
83.23,"% of ed attendances where patients spend less than the 8 hour target",2024-09-01,"wales","persons","all ages","ed_attendances_targets.csv"
83.12,"% of ed attendances where patients spend less than the 8 hour target",2024-08-01,"wales","persons","all ages","ed_attendances_targets.csv"
83.04,"% of ed attendances where patients spend less than the 8 hour target",2024-07-01,"wales","persons","all ages","ed_attendances_targets.csv"
82.74,"% of ed attendances where patients spend less than the 8 hour target",2024-06-01,"wales","persons","all ages","ed_attendances_targets.csv"
83.3,"% of ed attendances where patients spend less than the 8 hour target",2024-05-01,"wales","persons","all ages","ed_attendances_targets.csv"
83.46,"% of ed attendances where patients spend less than the 8 hour target",2024-04-01,"wales","persons","all ages","ed_attendances_targets.csv"
82.25,"% of ed attendances where patients spend less than the 8 hour target",2024-03-01,"wales","persons","all ages","ed_attendances_targets.csv"
82.1,"% of ed attendances where patients spend less than the 8 hour target",2024-02-01,"wales","persons","all ages","ed_attendances_targets.csv"
82.07,"% of ed attendances where patients spend less than the 8 hour target",2024-01-01,"wales","persons","all ages","ed_attendances_targets.csv"
81.2,"% of ed attendances where patients spend less than the 8 hour target",2023-12-01,"wales","persons","all ages","ed_attendances_targets.csv"
83.19,"% of ed attendances where patients spend less than the 8 hour target",2023-11-01,"wales","persons","all ages","ed_attendances_targets.csv"
82.75,"% of ed attendances where patients spend less than the 8 hour target",2023-10-01,"wales","persons","all ages","ed_attendances_targets.csv"
83.28,"% of ed attendances where patients spend less than the 8 hour target",2023-09-01,"wales","persons","all ages","ed_attendances_targets.csv"
82.41,"% of ed attendances where patients spend less than the 8 hour target",2023-08-01,"wales","persons","all ages","ed_attendances_targets.csv"
84.01,"% of ed attendances where patients spend less than the 8 hour target",2023-07-01,"wales","persons","all ages","ed_attendances_targets.csv"
85.51,"% of ed attendances where patients spend less than the 8 hour target",2023-06-01,"wales","persons","all ages","ed_attendances_targets.csv"
84.87,"% of ed attendances where patients spend less than the 8 hour target",2023-05-01,"wales","persons","all ages","ed_attendances_targets.csv"
83.37,"% of ed attendances where patients spend less than the 8 hour target",2023-04-01,"wales","persons","all ages","ed_attendances_targets.csv"
82.69,"% of ed attendances where patients spend less than the 8 hour target",2023-03-01,"wales","persons","all ages","ed_attendances_targets.csv"
84.03,"% of ed attendances where patients spend less than the 8 hour target",2023-02-01,"wales","persons","all ages","ed_attendances_targets.csv"
82.36,"% of ed attendances where patients spend less than the 8 hour target",2023-01-01,"wales","persons","all ages","ed_attendances_targets.csv"
78.61,"% of ed attendances where patients spend less than the 8 hour target",2022-12-01,"wales","persons","all ages","ed_attendances_targets.csv"
81.3,"% of ed attendances where patients spend less than the 8 hour target",2022-11-01,"wales","persons","all ages","ed_attendances_targets.csv"
81.07,"% of ed attendances where patients spend less than the 8 hour target",2022-10-01,"wales","persons","all ages","ed_attendances_targets.csv"
81.69,"% of ed attendances where patients spend less than the 8 hour target",2022-09-01,"wales","persons","all ages","ed_attendances_targets.csv"
81.36,"% of ed attendances where patients spend less than the 8 hour target",2022-08-01,"wales","persons","all ages","ed_attendances_targets.csv"
81.25,"% of ed attendances where patients spend less than the 8 hour target",2022-07-01,"wales","persons","all ages","ed_attendances_targets.csv"
81.51,"% of ed attendances where patients spend less than the 8 hour target",2022-06-01,"wales","persons","all ages","ed_attendances_targets.csv"
81.72,"% of ed attendances where patients spend less than the 8 hour target",2022-05-01,"wales","persons","all ages","ed_attendances_targets.csv"
80.32,"% of ed attendances where patients spend less than the 8 hour target",2022-04-01,"wales","persons","all ages","ed_attendances_targets.csv"
80.59,"% of ed attendances where patients spend less than the 8 hour target",2022-03-01,"wales","persons","all ages","ed_attendances_targets.csv"
80.48,"% of ed attendances where patients spend less than the 8 hour target",2022-02-01,"wales","persons","all ages","ed_attendances_targets.csv"
81.35,"% of ed attendances where patients spend less than the 8 hour target",2022-01-01,"wales","persons","all ages","ed_attendances_targets.csv"
81.06,"% of ed attendances where patients spend less than the 8 hour target",2021-12-01,"wales","persons","all ages","ed_attendances_targets.csv"
82.28,"% of ed attendances where patients spend less than the 8 hour target",2021-11-01,"wales","persons","all ages","ed_attendances_targets.csv"
81.35,"% of ed attendances where patients spend less than the 8 hour target",2021-10-01,"wales","persons","all ages","ed_attendances_targets.csv"
82.81,"% of ed attendances where patients spend less than the 8 hour target",2021-09-01,"wales","persons","all ages","ed_attendances_targets.csv"
83.82,"% of ed attendances where patients spend less than the 8 hour target",2021-08-01,"wales","persons","all ages","ed_attendances_targets.csv"
85.27,"% of ed attendances where patients spend less than the 8 hour target",2021-07-01,"wales","persons","all ages","ed_attendances_targets.csv"
86.45,"% of ed attendances where patients spend less than the 8 hour target",2021-06-01,"wales","persons","all ages","ed_attendances_targets.csv"
86.56,"% of ed attendances where patients spend less than the 8 hour target",2021-05-01,"wales","persons","all ages","ed_attendances_targets.csv"
88.09,"% of ed attendances where patients spend less than the 8 hour target",2021-04-01,"wales","persons","all ages","ed_attendances_targets.csv"
87.85,"% of ed attendances where patients spend less than the 8 hour target",2021-03-01,"wales","persons","all ages","ed_attendances_targets.csv"
85.82,"% of ed attendances where patients spend less than the 8 hour target",2021-02-01,"wales","persons","all ages","ed_attendances_targets.csv"
84.63,"% of ed attendances where patients spend less than the 8 hour target",2021-01-01,"wales","persons","all ages","ed_attendances_targets.csv"
82.79,"% of ed attendances where patients spend less than the 8 hour target",2020-12-01,"wales","persons","all ages","ed_attendances_targets.csv"
86.92,"% of ed attendances where patients spend less than the 8 hour target",2020-11-01,"wales","persons","all ages","ed_attendances_targets.csv"
88.15,"% of ed attendances where patients spend less than the 8 hour target",2020-10-01,"wales","persons","all ages","ed_attendances_targets.csv"
90.4,"% of ed attendances where patients spend less than the 8 hour target",2020-09-01,"wales","persons","all ages","ed_attendances_targets.csv"
91.64,"% of ed attendances where patients spend less than the 8 hour target",2020-08-01,"wales","persons","all ages","ed_attendances_targets.csv"
93.5,"% of ed attendances where patients spend less than the 8 hour target",2020-07-01,"wales","persons","all ages","ed_attendances_targets.csv"
95.72,"% of ed attendances where patients spend less than the 8 hour target",2020-06-01,"wales","persons","all ages","ed_attendances_targets.csv"
96.83,"% of ed attendances where patients spend less than the 8 hour target",2020-05-01,"wales","persons","all ages","ed_attendances_targets.csv"
96.78,"% of ed attendances where patients spend less than the 8 hour target",2020-04-01,"wales","persons","all ages","ed_attendances_targets.csv"
90.19,"% of ed attendances where patients spend less than the 8 hour target",2020-03-01,"wales","persons","all ages","ed_attendances_targets.csv"
87.69,"% of ed attendances where patients spend less than the 8 hour target",2020-02-01,"wales","persons","all ages","ed_attendances_targets.csv"
86.35,"% of ed attendances where patients spend less than the 8 hour target",2020-01-01,"wales","persons","all ages","ed_attendances_targets.csv"
85.95,"% of ed attendances where patients spend less than the 8 hour target",2019-12-01,"wales","persons","all ages","ed_attendances_targets.csv"
87.57,"% of ed attendances where patients spend less than the 8 hour target",2019-11-01,"wales","persons","all ages","ed_attendances_targets.csv"
88.31,"% of ed attendances where patients spend less than the 8 hour target",2019-10-01,"wales","persons","all ages","ed_attendances_targets.csv"
88.51,"% of ed attendances where patients spend less than the 8 hour target",2019-09-01,"wales","persons","all ages","ed_attendances_targets.csv"
89.65,"% of ed attendances where patients spend less than the 8 hour target",2019-08-01,"wales","persons","all ages","ed_attendances_targets.csv"
90.29,"% of ed attendances where patients spend less than the 8 hour target",2019-07-01,"wales","persons","all ages","ed_attendances_targets.csv"
90.18,"% of ed attendances where patients spend less than the 8 hour target",2019-06-01,"wales","persons","all ages","ed_attendances_targets.csv"
90.04,"% of ed attendances where patients spend less than the 8 hour target",2019-05-01,"wales","persons","all ages","ed_attendances_targets.csv"
89.22,"% of ed attendances where patients spend less than the 8 hour target",2019-04-01,"wales","persons","all ages","ed_attendances_targets.csv"
90.46,"% of ed attendances where patients spend less than the 8 hour target",2019-03-01,"wales","persons","all ages","ed_attendances_targets.csv"
90.14,"% of ed attendances where patients spend less than the 8 hour target",2019-02-01,"wales","persons","all ages","ed_attendances_targets.csv"
88.66,"% of ed attendances where patients spend less than the 8 hour target",2019-01-01,"wales","persons","all ages","ed_attendances_targets.csv"
88.24,"% of ed attendances where patients spend less than the 12 hour target",2025-12-01,"wales","persons","all ages","ed_attendances_targets.csv"
88.72,"% of ed attendances where patients spend less than the 12 hour target",2025-11-01,"wales","persons","all ages","ed_attendances_targets.csv"
89.15,"% of ed attendances where patients spend less than the 12 hour target",2025-10-01,"wales","persons","all ages","ed_attendances_targets.csv"
89.17,"% of ed attendances where patients spend less than the 12 hour target",2025-09-01,"wales","persons","all ages","ed_attendances_targets.csv"
89.3,"% of ed attendances where patients spend less than the 12 hour target",2025-08-01,"wales","persons","all ages","ed_attendances_targets.csv"
89.9,"% of ed attendances where patients spend less than the 12 hour target",2025-07-01,"wales","persons","all ages","ed_attendances_targets.csv"
89.56,"% of ed attendances where patients spend less than the 12 hour target",2025-06-01,"wales","persons","all ages","ed_attendances_targets.csv"
89.42,"% of ed attendances where patients spend less than the 12 hour target",2025-05-01,"wales","persons","all ages","ed_attendances_targets.csv"
89.28,"% of ed attendances where patients spend less than the 12 hour target",2025-04-01,"wales","persons","all ages","ed_attendances_targets.csv"
89.22,"% of ed attendances where patients spend less than the 12 hour target",2025-03-01,"wales","persons","all ages","ed_attendances_targets.csv"
88.84,"% of ed attendances where patients spend less than the 12 hour target",2025-02-01,"wales","persons","all ages","ed_attendances_targets.csv"
87.79,"% of ed attendances where patients spend less than the 12 hour target",2025-01-01,"wales","persons","all ages","ed_attendances_targets.csv"
87.59,"% of ed attendances where patients spend less than the 12 hour target",2024-12-01,"wales","persons","all ages","ed_attendances_targets.csv"
89.06,"% of ed attendances where patients spend less than the 12 hour target",2024-11-01,"wales","persons","all ages","ed_attendances_targets.csv"
89.3,"% of ed attendances where patients spend less than the 12 hour target",2024-10-01,"wales","persons","all ages","ed_attendances_targets.csv"
89.27,"% of ed attendances where patients spend less than the 12 hour target",2024-09-01,"wales","persons","all ages","ed_attendances_targets.csv"
89.64,"% of ed attendances where patients spend less than the 12 hour target",2024-08-01,"wales","persons","all ages","ed_attendances_targets.csv"
89.38,"% of ed attendances where patients spend less than the 12 hour target",2024-07-01,"wales","persons","all ages","ed_attendances_targets.csv"
89.36,"% of ed attendances where patients spend less than the 12 hour target",2024-06-01,"wales","persons","all ages","ed_attendances_targets.csv"
89.33,"% of ed attendances where patients spend less than the 12 hour target",2024-05-01,"wales","persons","all ages","ed_attendances_targets.csv"
89.41,"% of ed attendances where patients spend less than the 12 hour target",2024-04-01,"wales","persons","all ages","ed_attendances_targets.csv"
88.68,"% of ed attendances where patients spend less than the 12 hour target",2024-03-01,"wales","persons","all ages","ed_attendances_targets.csv"
88.43,"% of ed attendances where patients spend less than the 12 hour target",2024-02-01,"wales","persons","all ages","ed_attendances_targets.csv"
88.4,"% of ed attendances where patients spend less than the 12 hour target",2024-01-01,"wales","persons","all ages","ed_attendances_targets.csv"
88.45,"% of ed attendances where patients spend less than the 12 hour target",2023-12-01,"wales","persons","all ages","ed_attendances_targets.csv"
89.75,"% of ed attendances where patients spend less than the 12 hour target",2023-11-01,"wales","persons","all ages","ed_attendances_targets.csv"
89.27,"% of ed attendances where patients spend less than the 12 hour target",2023-10-01,"wales","persons","all ages","ed_attendances_targets.csv"
89.46,"% of ed attendances where patients spend less than the 12 hour target",2023-09-01,"wales","persons","all ages","ed_attendances_targets.csv"
89.02,"% of ed attendances where patients spend less than the 12 hour target",2023-08-01,"wales","persons","all ages","ed_attendances_targets.csv"
90.22,"% of ed attendances where patients spend less than the 12 hour target",2023-07-01,"wales","persons","all ages","ed_attendances_targets.csv"
91.25,"% of ed attendances where patients spend less than the 12 hour target",2023-06-01,"wales","persons","all ages","ed_attendances_targets.csv"
90.88,"% of ed attendances where patients spend less than the 12 hour target",2023-05-01,"wales","persons","all ages","ed_attendances_targets.csv"
89.63,"% of ed attendances where patients spend less than the 12 hour target",2023-04-01,"wales","persons","all ages","ed_attendances_targets.csv"
88.75,"% of ed attendances where patients spend less than the 12 hour target",2023-03-01,"wales","persons","all ages","ed_attendances_targets.csv"
89.65,"% of ed attendances where patients spend less than the 12 hour target",2023-02-01,"wales","persons","all ages","ed_attendances_targets.csv"
88.43,"% of ed attendances where patients spend less than the 12 hour target",2023-01-01,"wales","persons","all ages","ed_attendances_targets.csv"
86.29,"% of ed attendances where patients spend less than the 12 hour target",2022-12-01,"wales","persons","all ages","ed_attendances_targets.csv"
88.15,"% of ed attendances where patients spend less than the 12 hour target",2022-11-01,"wales","persons","all ages","ed_attendances_targets.csv"
87.92,"% of ed attendances where patients spend less than the 12 hour target",2022-10-01,"wales","persons","all ages","ed_attendances_targets.csv"
88.14,"% of ed attendances where patients spend less than the 12 hour target",2022-09-01,"wales","persons","all ages","ed_attendances_targets.csv"
88.19,"% of ed attendances where patients spend less than the 12 hour target",2022-08-01,"wales","persons","all ages","ed_attendances_targets.csv"
88.32,"% of ed attendances where patients spend less than the 12 hour target",2022-07-01,"wales","persons","all ages","ed_attendances_targets.csv"
88.41,"% of ed attendances where patients spend less than the 12 hour target",2022-06-01,"wales","persons","all ages","ed_attendances_targets.csv"
88.74,"% of ed attendances where patients spend less than the 12 hour target",2022-05-01,"wales","persons","all ages","ed_attendances_targets.csv"
87.41,"% of ed attendances where patients spend less than the 12 hour target",2022-04-01,"wales","persons","all ages","ed_attendances_targets.csv"
87.65,"% of ed attendances where patients spend less than the 12 hour target",2022-03-01,"wales","persons","all ages","ed_attendances_targets.csv"
87.51,"% of ed attendances where patients spend less than the 12 hour target",2022-02-01,"wales","persons","all ages","ed_attendances_targets.csv"
87.93,"% of ed attendances where patients spend less than the 12 hour target",2022-01-01,"wales","persons","all ages","ed_attendances_targets.csv"
88.38,"% of ed attendances where patients spend less than the 12 hour target",2021-12-01,"wales","persons","all ages","ed_attendances_targets.csv"
89.04,"% of ed attendances where patients spend less than the 12 hour target",2021-11-01,"wales","persons","all ages","ed_attendances_targets.csv"
88.76,"% of ed attendances where patients spend less than the 12 hour target",2021-10-01,"wales","persons","all ages","ed_attendances_targets.csv"
90.11,"% of ed attendances where patients spend less than the 12 hour target",2021-09-01,"wales","persons","all ages","ed_attendances_targets.csv"
90.83,"% of ed attendances where patients spend less than the 12 hour target",2021-08-01,"wales","persons","all ages","ed_attendances_targets.csv"
92.13,"% of ed attendances where patients spend less than the 12 hour target",2021-07-01,"wales","persons","all ages","ed_attendances_targets.csv"
93.36,"% of ed attendances where patients spend less than the 12 hour target",2021-06-01,"wales","persons","all ages","ed_attendances_targets.csv"
93.46,"% of ed attendances where patients spend less than the 12 hour target",2021-05-01,"wales","persons","all ages","ed_attendances_targets.csv"
94.16,"% of ed attendances where patients spend less than the 12 hour target",2021-04-01,"wales","persons","all ages","ed_attendances_targets.csv"
93.5,"% of ed attendances where patients spend less than the 12 hour target",2021-03-01,"wales","persons","all ages","ed_attendances_targets.csv"
91.41,"% of ed attendances where patients spend less than the 12 hour target",2021-02-01,"wales","persons","all ages","ed_attendances_targets.csv"
90.18,"% of ed attendances where patients spend less than the 12 hour target",2021-01-01,"wales","persons","all ages","ed_attendances_targets.csv"
89.25,"% of ed attendances where patients spend less than the 12 hour target",2020-12-01,"wales","persons","all ages","ed_attendances_targets.csv"
92.61,"% of ed attendances where patients spend less than the 12 hour target",2020-11-01,"wales","persons","all ages","ed_attendances_targets.csv"
93.49,"% of ed attendances where patients spend less than the 12 hour target",2020-10-01,"wales","persons","all ages","ed_attendances_targets.csv"
95.23,"% of ed attendances where patients spend less than the 12 hour target",2020-09-01,"wales","persons","all ages","ed_attendances_targets.csv"
96.44,"% of ed attendances where patients spend less than the 12 hour target",2020-08-01,"wales","persons","all ages","ed_attendances_targets.csv"
97.68,"% of ed attendances where patients spend less than the 12 hour target",2020-07-01,"wales","persons","all ages","ed_attendances_targets.csv"
98.47,"% of ed attendances where patients spend less than the 12 hour target",2020-06-01,"wales","persons","all ages","ed_attendances_targets.csv"
99.08,"% of ed attendances where patients spend less than the 12 hour target",2020-05-01,"wales","persons","all ages","ed_attendances_targets.csv"
98.95,"% of ed attendances where patients spend less than the 12 hour target",2020-04-01,"wales","persons","all ages","ed_attendances_targets.csv"
94.82,"% of ed attendances where patients spend less than the 12 hour target",2020-03-01,"wales","persons","all ages","ed_attendances_targets.csv"
93.28,"% of ed attendances where patients spend less than the 12 hour target",2020-02-01,"wales","persons","all ages","ed_attendances_targets.csv"
91.75,"% of ed attendances where patients spend less than the 12 hour target",2020-01-01,"wales","persons","all ages","ed_attendances_targets.csv"
92.14,"% of ed attendances where patients spend less than the 12 hour target",2019-12-01,"wales","persons","all ages","ed_attendances_targets.csv"
93.13,"% of ed attendances where patients spend less than the 12 hour target",2019-11-01,"wales","persons","all ages","ed_attendances_targets.csv"
93.86,"% of ed attendances where patients spend less than the 12 hour target",2019-10-01,"wales","persons","all ages","ed_attendances_targets.csv"
93.85,"% of ed attendances where patients spend less than the 12 hour target",2019-09-01,"wales","persons","all ages","ed_attendances_targets.csv"
94.84,"% of ed attendances where patients spend less than the 12 hour target",2019-08-01,"wales","persons","all ages","ed_attendances_targets.csv"
95.09,"% of ed attendances where patients spend less than the 12 hour target",2019-07-01,"wales","persons","all ages","ed_attendances_targets.csv"
95.3,"% of ed attendances where patients spend less than the 12 hour target",2019-06-01,"wales","persons","all ages","ed_attendances_targets.csv"
94.91,"% of ed attendances where patients spend less than the 12 hour target",2019-05-01,"wales","persons","all ages","ed_attendances_targets.csv"
94.4,"% of ed attendances where patients spend less than the 12 hour target",2019-04-01,"wales","persons","all ages","ed_attendances_targets.csv"
95,"% of ed attendances where patients spend less than the 12 hour target",2019-03-01,"wales","persons","all ages","ed_attendances_targets.csv"
94.94,"% of ed attendances where patients spend less than the 12 hour target",2019-02-01,"wales","persons","all ages","ed_attendances_targets.csv"
93.71,"% of ed attendances where patients spend less than the 12 hour target",2019-01-01,"wales","persons","all ages","ed_attendances_targets.csv"
1401,"count of delays",2025-12-01,"wales","persons","all ages","pathway_of_care_delays.csv"
1455,"count of delays",2025-11-01,"wales","persons","all ages","pathway_of_care_delays.csv"
1493,"count of delays",2025-10-01,"wales","persons","all ages","pathway_of_care_delays.csv"
1374,"count of delays",2025-09-01,"wales","persons","all ages","pathway_of_care_delays.csv"
1367,"count of delays",2025-08-01,"wales","persons","all ages","pathway_of_care_delays.csv"
1275,"count of delays",2025-07-01,"wales","persons","all ages","pathway_of_care_delays.csv"
1392,"count of delays",2025-06-01,"wales","persons","all ages","pathway_of_care_delays.csv"
1405,"count of delays",2025-05-01,"wales","persons","all ages","pathway_of_care_delays.csv"
1404,"count of delays",2025-04-01,"wales","persons","all ages","pathway_of_care_delays.csv"
1383,"count of delays",2025-03-01,"wales","persons","all ages","pathway_of_care_delays.csv"
1497,"count of delays",2025-02-01,"wales","persons","all ages","pathway_of_care_delays.csv"
1502,"count of delays",2025-01-01,"wales","persons","all ages","pathway_of_care_delays.csv"
1435,"count of delays",2024-12-01,"wales","persons","all ages","pathway_of_care_delays.csv"
1473,"count of delays",2024-11-01,"wales","persons","all ages","pathway_of_care_delays.csv"
1546,"count of delays",2024-10-01,"wales","persons","all ages","pathway_of_care_delays.csv"
1596,"count of delays",2024-09-01,"wales","persons","all ages","pathway_of_care_delays.csv"
1619,"count of delays",2024-08-01,"wales","persons","all ages","pathway_of_care_delays.csv"
1541,"count of delays",2024-07-01,"wales","persons","all ages","pathway_of_care_delays.csv"
1652,"count of delays",2024-06-01,"wales","persons","all ages","pathway_of_care_delays.csv"
1626,"count of delays",2024-05-01,"wales","persons","all ages","pathway_of_care_delays.csv"
1712,"count of delays",2024-04-01,"wales","persons","all ages","pathway_of_care_delays.csv"
1661,"count of delays",2024-03-01,"wales","persons","all ages","pathway_of_care_delays.csv"
1639,"count of delays",2024-02-01,"wales","persons","all ages","pathway_of_care_delays.csv"
1548,"count of delays",2024-01-01,"wales","persons","all ages","pathway_of_care_delays.csv"
1361,"count of delays",2023-12-01,"wales","persons","all ages","pathway_of_care_delays.csv"
1567,"count of delays",2023-11-01,"wales","persons","all ages","pathway_of_care_delays.csv"
1551,"count of delays",2023-10-01,"wales","persons","all ages","pathway_of_care_delays.csv"
1598,"count of delays",2023-09-01,"wales","persons","all ages","pathway_of_care_delays.csv"
1552,"count of delays",2023-08-01,"wales","persons","all ages","pathway_of_care_delays.csv"
1570,"count of delays",2023-07-01,"wales","persons","all ages","pathway_of_care_delays.csv"
1625,"count of delays",2023-06-01,"wales","persons","all ages","pathway_of_care_delays.csv"
1526,"count of delays",2023-05-01,"wales","persons","all ages","pathway_of_care_delays.csv"
1750,"count of delays",2023-04-01,"wales","persons","all ages","pathway_of_care_delays.csv"
61147,"count of days delayed",2025-12-01,"wales","persons","all ages","pathway_of_care_delays.csv"
63558,"count of days delayed",2025-11-01,"wales","persons","all ages","pathway_of_care_delays.csv"
64134,"count of days delayed",2025-10-01,"wales","persons","all ages","pathway_of_care_delays.csv"
59979,"count of days delayed",2025-09-01,"wales","persons","all ages","pathway_of_care_delays.csv"
59071,"count of days delayed",2025-08-01,"wales","persons","all ages","pathway_of_care_delays.csv"
55972,"count of days delayed",2025-07-01,"wales","persons","all ages","pathway_of_care_delays.csv"
61928,"count of days delayed",2025-06-01,"wales","persons","all ages","pathway_of_care_delays.csv"
